model,avg_latency_s,avg_end_to_end_latency_s,avg_input_tokens,avg_output_tokens,avg_total_tokens,error_rate,accuracy
meta-llama/Llama-3.1-8B-Instruct,2.836572,3.8652392,196,47,243,0,1
meta-llama/Llama-3.1-8B-Instruct,1.3750153,2.2735324,170,14,184,0,0
meta-llama/Llama-3.1-8B-Instruct,2.1693547,3.3427921,198,57,255,0,1
meta-llama/Llama-3.1-8B-Instruct,1.2783107,2.0437639,375,20,395,0,1
meta-llama/Llama-3.1-8B-Instruct,3.9176343,4.7972897,194,116,310,0,0
meta-llama/Llama-3.1-8B-Instruct,3.1676804,4.1204729,1007,85,1092,0,1
mistralai/Mistral-7B-Instruct-v0.2,10.4280471,11.7170642,196,78,274,0,1
mistralai/Mistral-7B-Instruct-v0.2,7.9948332,9.0678318,340,125,465,0,1
mistralai/Mistral-7B-Instruct-v0.2,6.3926883,7.5658289,198,59,257,0,1
mistralai/Mistral-7B-Instruct-v0.2,2.1108804,3.3480789,375,18,393,0,1
mistralai/Mistral-7B-Instruct-v0.2,8.0691225,9.2498794,194,102,296,0,1
mistralai/Mistral-7B-Instruct-v0.2,7.4220827,8.7362953,1007,91,1098,0,1
deepseek-ai/DeepSeek-V3.2,2.4763775,3.6842109,196,69,265,0,1
deepseek-ai/DeepSeek-V3.2,4.697073,5.839545,196,69,265,0,1
deepseek-ai/DeepSeek-V3.2,5.528919,6.6087081,198,67,265,0,1
deepseek-ai/DeepSeek-V3.2,2.8315597,3.9183596,375,40,415,0,1
deepseek-ai/DeepSeek-V3.2,3.72135115,4.5302586,600.5,113.5,714,0,0
deepseek-ai/DeepSeek-V3.2,3.72135115,4.5302586,600.5,113.5,714,0,1
openai/gpt-oss-20b,1.0317216,2.0738974,196,33,229,0,1
openai/gpt-oss-20b,1.099766,2.3436264,340,65,405,0,1
openai/gpt-oss-20b,0.7769697,1.8804841,198,36,234,0,1
openai/gpt-oss-20b,0.6381735,2.0913285,375,12,387,0,1
openai/gpt-oss-20b,0.8210502,2.0284537,194,14,208,0,1
openai/gpt-oss-20b,1.0317216,2.0738974,196,33,229,0,1
